State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000000101110    0.11310         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          [2, 6]          [3, 6]          [4, 6]          None            None           
000000101111    0.04035         [2]             [3]             [4]             [2, 3]          [6]             [1, 6]          [2, 6]          [3, 6]          [4, 6]          None            None           
000000110000    0.08642         None            None            None            [5]             [6]             None            None            None            None            [5, 6]          None           
000000110001    0.05633         None            None            None            [5]             [1, 5]          [1, 6]          None            None            None            [5, 6]          None           
000000110010    0.08282         [2]             None            None            [5]             [6]             [2, 5]          [2, 6]          None            None            [5, 6]          None           
000000110011    0.08065         [2]             [1, 2]          None            [5]             [1, 5]          [1, 6]          [2, 6]          None            None            [5, 6]          None           
000000110100    0.07459         None            [3]             None            [5]             [6]             None            [3, 5]          [3, 6]          None            [5, 6]          None           
000000110101    0.10095         None            [3]             [1, 3]          [5]             [1, 5]          [1, 6]          [3, 5]          [3, 6]          None            [5, 6]          None           
000000110110    0.08942         [2]             [3]             None            [2, 3]          [6]             [2, 5]          [2, 6]          [3, 6]          None            [5, 6]          None           
000000110111    0.04768         [2]             [3]             [1, 3]          [5]             [6]             [2, 5]          [2, 6]          [3, 6]          None            [5, 6]          None           
000000111000    0.06636         None            None            [4]             [5]             [6]             None            None            [4, 5]          [4, 6]          [5, 6]          None           
000000111001    0.08696         None            None            [4]             [1, 4]          [1, 5]          [1, 6]          None            [4, 5]          [4, 6]          [5, 6]          None           
000000111010    0.10061         [2]             None            [4]             [5]             [2, 4]          [2, 5]          [2, 6]          [4, 5]          [4, 6]          [5, 6]          None           
000000111011    0.05466         [2]             [1, 2]          [4]             [5]             [6]             [1, 6]          [2, 6]          [4, 5]          [4, 6]          [5, 6]          None           
000000111100    0.09504         None            [3]             [4]             [5]             [6]             [3, 4]          [3, 5]          [3, 6]          [4, 6]          [5, 6]          None           
000000111101    0.06528         None            [3]             [4]             [5]             [6]             [1, 6]          [3, 5]          [4, 5]          [4, 6]          [5, 6]          None           
000000111110    0.08045         [2]             [3]             [4]             [5]             [6]             [3, 4]          [2, 6]          [3, 6]          [4, 6]          [5, 6]          None           
000000111111    0.09102         [2]             [1, 2]          [1, 3]          [1, 4]          [1, 5]          [1, 6]          [2, 6]          [4, 5]          [4, 6]          [5, 6]          None           
000001000000    0.16667         None            None            None            None            None            [7]             None            None            None            None            None           
000001000001    0.13889         None            None            None            None            None            [7]             [1, 7]          None            None            None            None           
000001000010    0.12037         [2]             None            None            None            None            [7]             None            [2, 7]          None            None            None           
000001000011    0.02623         [2]             [1, 2]          None            None            None            [7]             [1, 7]          [2, 7]          None            None            None           
000001000100    0.10185         None            [3]             None            None            None            [7]             None            None            [3, 7]          None            None           
000001000101    0.04321         None            [3]             [1, 3]          None            None            [7]             [1, 7]          None            [3, 7]          None            None           
000001000110    0.05556         [2]             [3]             None            [2, 3]          None            [7]             None            [2, 7]          [3, 7]          None            None           
000001000111    0.06336         [2]             [1, 2]          [1, 3]          [2, 3]          None            [7]             [1, 7]          [2, 7]          [3, 7]          None            None           
000001001000    0.08333         None            None            [4]             None            None            [7]             None            None            None            [4, 7]          None           
000001001001    0.06019         None            None            [4]             [1, 4]          None            [7]             [1, 7]          None            None            [4, 7]          None           
000001001010    0.07022         [2]             None            [4]             None            [2, 4]          [7]             None            [2, 7]          None            [4, 7]          None           
000001001011    0.07909         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [7]             [1, 7]          [2, 7]          None            [4, 7]          None           
000001001100    0.05247         None            [3]             [4]             None            None            [7]             None            None            [3, 7]          [4, 7]          None           
000001001101    0.08308         None            [3]             [1, 3]          [1, 4]          None            [3, 4]          [1, 7]          None            [3, 7]          [4, 7]          None           
000001001110    0.09131         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          None            [2, 7]          [3, 7]          [4, 7]          None           
000001001111    0.04451         [2]             [3]             [1, 3]          [2, 3]          [2, 4]          [7]             [1, 7]          [2, 7]          [3, 7]          [4, 7]          None           
000001010000    0.06481         None            None            None            [5]             None            [7]             None            None            None            None            [5, 7]         
000001010001    0.07716         None            None            None            [5]             [1, 5]          [7]             [1, 7]          None            None            None            [5, 7]         
000001010010    0.05710         [2]             None            None            [5]             None            [7]             None            [2, 7]          None            None            [5, 7]         
000001010011    0.08951         [2]             [1, 2]          None            [5]             [1, 5]          [2, 5]          [1, 7]          [2, 7]          None            None            [5, 7]         
000001010100    0.07407         None            [3]             None            [5]             None            [7]             [3, 5]          None            [3, 7]          None            [5, 7]         
000001010101    0.06919         None            [3]             [1, 3]          [5]             [1, 5]          [7]             [1, 7]          None            [3, 7]          None            [5, 7]         
000001010110    0.08050         [2]             [3]             None            [2, 3]          None            [2, 5]          [3, 5]          [2, 7]          [3, 7]          None            [5, 7]         
000001010111    0.05188         [2]             [3]             [1, 3]          [2, 3]          [1, 5]          [7]             [1, 7]          [2, 7]          [3, 7]          None            [5, 7]         
000001011000    0.06327         None            None            [4]             [5]             None            [7]             None            [4, 5]          None            [4, 7]          [5, 7]         
000001011001    0.07536         None            None            [4]             [1, 4]          [1, 5]          [7]             [1, 7]          [4, 5]          None            [4, 7]          [5, 7]         
000001011010    0.06520         [2]             None            [4]             [5]             [2, 4]          [2, 5]          None            [2, 7]          None            [4, 7]          [5, 7]         
000001011011    0.05956         [2]             [1, 2]          [4]             [5]             [2, 4]          [7]             [1, 7]          [2, 7]          None            [4, 7]          [5, 7]         
000001011100    0.07510         None            [3]             [4]             [5]             None            [7]             [3, 5]          [4, 5]          [3, 7]          [4, 7]          [5, 7]         
000001011101    0.06413         None            [3]             [4]             [5]             [1, 5]          [7]             [1, 7]          [4, 5]          [3, 7]          [4, 7]          [5, 7]         
000001011110    0.07770         [2]             [3]             [4]             [5]             [2, 4]          [7]             [3, 5]          [2, 7]          [3, 7]          [4, 7]          [5, 7]         
000001011111    0.08598         [2]             [1, 2]          [1, 3]          [1, 4]          [1, 5]          [3, 4]          [1, 7]          [2, 7]          [3, 7]          [4, 7]          [5, 7]         
000001100000    0.04630         None            None            None            None            [6]             [7]             None            None            None            None            None           
000001100001    0.06636         None            None            None            None            [6]             [1, 6]          [1, 7]          None            None            None            None           
000001100010    0.08102         [2]             None            None            None            [6]             [7]             [2, 6]          [2, 7]          None            None            None           
000001100011    0.06700         [2]             [1, 2]          None            None            [6]             [1, 6]          [1, 7]          [2, 7]          None            None            None           
000001100100    0.06790         None            [3]             None            None            [6]             [7]             None            [3, 6]          [3, 7]          None            None           
000001100101    0.07742         None            [3]             [1, 3]          None            [6]             [1, 6]          [1, 7]          [3, 6]          [3, 7]          None            None           
000001100110    0.06863         [2]             [3]             None            [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [3, 7]          None            None           
000001100111    0.05580         [2]             [1, 2]          [1, 3]          [2, 3]          [6]             [7]             [1, 7]          [2, 7]          [3, 7]          None            None           
000001101000    0.05478         None            None            [4]             None            [6]             [7]             None            None            [4, 6]          [4, 7]          None           
000001101001    0.06854         None            None            [4]             [1, 4]          [6]             [1, 6]          [1, 7]          None            [4, 6]          [4, 7]          None           
000001101010    0.06777         [2]             None            [4]             None            [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [4, 7]          None           
000001101011    0.06445         [2]             [1, 2]          [4]             [1, 4]          [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [4, 7]          None           
000001101100    0.05414         None            [3]             [4]             None            [6]             [7]             None            [3, 6]          [3, 7]          [4, 7]          None           
000001101101    0.06697         None            [3]             [4]             [1, 4]          [6]             [7]             [1, 7]          [3, 6]          [3, 7]          [4, 7]          None           
000001101110    0.07217         [2]             [3]             [4]             [2, 3]          [6]             [7]             [2, 6]          [2, 7]          [4, 6]          [4, 7]          None           
000001101111    0.08120         [2]             [3]             [1, 3]          [1, 4]          [2, 4]          [1, 6]          [1, 7]          [3, 6]          [3, 7]          [4, 7]          None           
000001110000    0.04167         None            None            None            [5]             [6]             [7]             None            None            None            [5, 6]          [5, 7]         
000001110001    0.05324         None            None            None            [5]             [6]             [1, 6]          [1, 7]          None            None            [5, 6]          [5, 7]         
000001110010    0.06126         [2]             None            None            [5]             [6]             [7]             [2, 6]          [2, 7]          None            [5, 6]          [5, 7]         
000001110011    0.05702         [2]             [1, 2]          None            [5]             [6]             [7]             [1, 7]          [2, 7]          None            [5, 6]          [5, 7]         
000001110100    0.06259         None            [3]             None            [5]             [6]             [7]             [3, 5]          [3, 6]          [3, 7]          [5, 6]          [5, 7]         
000001110101    0.06865         None            [3]             [1, 3]          [5]             [6]             [7]             [1, 7]          [3, 6]          [3, 7]          [5, 6]          [5, 7]         
000001110110    0.06987         [2]             [3]             None            [5]             [6]             [7]             [3, 5]          [2, 7]          [3, 7]          [5, 6]          [5, 7]         
000001110111    0.07565         [2]             [1, 2]          [1, 3]          [5]             [1, 5]          [1, 6]          [1, 7]          [2, 7]          [3, 7]          [5, 6]          [5, 7]         
000001111000    0.04771         None            None            [4]             [5]             [6]             [7]             None            [4, 5]          [4, 6]          [4, 7]          [5, 7]         
000001111001    0.06500         None            None            [4]             [5]             [6]             [7]             [1, 7]          [4, 5]          [4, 6]          [5, 6]          [5, 7]         
000001111010    0.06829         [2]             None            [4]             [5]             [6]             [7]             [2, 6]          [4, 5]          [4, 6]          [4, 7]          [5, 7]         
000001111011    0.07536         [2]             [1, 2]          [4]             [5]             [1, 5]          [2, 5]          [1, 7]          [2, 7]          [4, 6]          [4, 7]          [5, 7]         
000001111100    0.06779         None            [3]             [4]             [5]             [6]             [7]             [3, 5]          [4, 5]          [4, 6]          [4, 7]          [5, 7]         
000001111101    0.07501         None            [3]             [4]             [5]             [6]             [1, 6]          [1, 7]          [4, 5]          [3, 7]          [4, 7]          [5, 7]         
000001111110    0.08131         [2]             [3]             [4]             [5]             [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [5, 6]          [5, 7]         
000001111111    0.07546         [2]             [3]             [4]             [5]             [6]             [7]             [1, 7]          [2, 7]          [3, 7]          [4, 7]          [5, 7]         
000010000000    0.13889         None            None            None            None            None            None            [8]             None            None            None            None           
000010000001    0.11111         None            None            None            None            None            None            [8]             [1, 8]          None            None            None           
000010000010    0.09105         [2]             None            None            None            None            None            [8]             None            [2, 8]          None            None           
000010000011    0.02160         [2]             [1, 2]          None            None            None            None            [8]             [1, 8]          [2, 8]          None            None           
000010000100    0.07099         None            [3]             None            None            None            None            [8]             None            None            [3, 8]          None           
000010000101    0.03549         None            [3]             [1, 3]          None            None            None            [8]             [1, 8]          None            [3, 8]          None           
000010000110    0.04450         [2]             [3]             None            [2, 3]          None            None            [8]             None            [2, 8]          [3, 8]          None           
000010000111    0.04865         [2]             [1, 2]          [1, 3]          [2, 3]          None            None            [8]             [1, 8]          [2, 8]          [3, 8]          None           
000010001000    0.05093         None            None            [4]             None            None            None            [8]             None            None            None            [4, 8]         
000010001001    0.04938         None            None            [4]             [1, 4]          None            None            [8]             [1, 8]          None            None            [4, 8]         
000010001010    0.05594         [2]             None            [4]             None            [2, 4]          None            [8]             None            [2, 8]          None            [4, 8]         
000010001011    0.06044         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          None            [8]             [1, 8]          [2, 8]          None            [4, 8]         
000010001100    0.06250         None            [3]             [4]             None            None            [3, 4]          [8]             None            None            [3, 8]          [4, 8]         
000010001101    0.06411         None            [3]             [1, 3]          [1, 4]          None            [3, 4]          [8]             [1, 8]          None            [3, 8]          [4, 8]         
000010001110    0.07116         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          [8]             None            [2, 8]          [3, 8]          [4, 8]         
000010001111    0.03925         [2]             [1, 2]          [1, 3]          [2, 3]          [2, 4]          [3, 4]          [8]             [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000010010000    0.03086         None            None            None            [5]             None            None            [8]             None            None            None            None           
000010010001    0.06327         None            None            None            [5]             [1, 5]          None            [8]             [1, 8]          None            None            None           
000010010010    0.06739         [2]             None            None            [5]             None            [2, 5]          [8]             None            [2, 8]          None            None           
000010010011    0.07060         [2]             [1, 2]          None            [5]             [1, 5]          [2, 5]          [8]             [1, 8]          [2, 8]          None            None           
000010010100    0.03678         None            [3]             None            [5]             None            None            [8]             None            None            [3, 8]          None           
000010010101    0.05984         None            [3]             [1, 3]          [5]             [1, 5]          None            [3, 5]          [1, 8]          None            [3, 8]          None           
000010010110    0.05639         [2]             [3]             None            [5]             None            [2, 5]          [3, 5]          None            [2, 8]          [3, 8]          None           
000010010111    0.04932         [2]             [3]             [1, 3]          [2, 3]          [1, 5]          [2, 5]          [8]             [1, 8]          [2, 8]          [3, 8]          None           
000010011000    0.04475         None            None            [4]             [5]             None            None            [8]             [4, 5]          None            None            [4, 8]         
000010011001    0.04102         None            None            [4]             [5]             [1, 5]          None            [8]             [1, 8]          None            None            [4, 8]         
000010011010    0.06079         [2]             None            [4]             [5]             [2, 4]          [2, 5]          [8]             [4, 5]          [2, 8]          None            [4, 8]         
000010011011    0.05514         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [2, 5]          [8]             [1, 8]          [2, 8]          None            [4, 8]         
000010011100    0.04743         None            [3]             [4]             [5]             None            [3, 4]          [8]             [4, 5]          None            [3, 8]          [4, 8]         
000010011101    0.05908         None            [3]             [4]             [5]             [1, 5]          [3, 4]          [8]             [1, 8]          None            [3, 8]          [4, 8]         
000010011110    0.06446         [2]             [3]             [4]             [5]             [2, 4]          [3, 4]          [8]             [4, 5]          [2, 8]          [3, 8]          [4, 8]         
000010011111    0.07262         [2]             [3]             [1, 3]          [1, 4]          [1, 5]          [3, 4]          [3, 5]          [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000010100000    0.03858         None            None            None            None            [6]             None            [8]             None            None            None            None           
000010100001    0.07716         None            None            None            None            [6]             [1, 6]          [8]             [1, 8]          None            None            None           
000010100010    0.04565         [2]             None            None            None            [6]             None            [8]             None            [2, 8]          None            None           
000010100011    0.06807         [2]             [1, 2]          None            None            [6]             [1, 6]          [2, 6]          [1, 8]          [2, 8]          None            None           
000010100100    0.05273         None            [3]             None            None            [6]             None            [8]             [3, 6]          None            [3, 8]          None           
000010100101    0.05337         None            [3]             [1, 3]          None            [6]             [1, 6]          [8]             [1, 8]          None            [3, 8]          None           
000010100110    0.05313         [2]             [3]             None            [2, 3]          [6]             None            [2, 6]          [3, 6]          [2, 8]          [3, 8]          None           
000010100111    0.05330         [2]             [3]             [1, 3]          [2, 3]          [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [3, 8]          None           
000010101000    0.04051         None            None            [4]             None            [6]             None            [8]             None            [4, 6]          None            [4, 8]         
000010101001    0.05993         None            None            [4]             [1, 4]          [6]             [1, 6]          [8]             [1, 8]          [4, 6]          None            [4, 8]         
000010101010    0.03272         [2]             None            [4]             None            [6]             None            [2, 6]          None            [2, 8]          None            [4, 8]         
000010101011    0.05864         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [1, 6]          [8]             [1, 8]          [2, 8]          None            [4, 8]         
000010101100    0.05358         None            [3]             [4]             None            [6]             [3, 4]          [8]             [3, 6]          [4, 6]          [3, 8]          [4, 8]         
000010101101    0.06219         None            [3]             [4]             [1, 4]          [6]             [3, 4]          [8]             [1, 8]          [4, 6]          [3, 8]          [4, 8]         
000010101110    0.06236         [2]             [3]             [4]             [2, 3]          [6]             [3, 4]          [8]             [3, 6]          [2, 8]          [3, 8]          [4, 8]         
000010101111    0.07059         [2]             [3]             [4]             [2, 3]          [2, 4]          [1, 6]          [2, 6]          [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000010110000    0.02829         None            None            None            [5]             [6]             None            [8]             None            None            [5, 6]          None           
000010110001    0.04610         None            None            None            [5]             [6]             [1, 6]          [8]             [1, 8]          None            [5, 6]          None           
000010110010    0.04541         [2]             None            None            [5]             [6]             [2, 5]          [8]             None            [2, 8]          [5, 6]          None           
000010110011    0.05938         [2]             [1, 2]          None            [5]             [6]             [2, 5]          [8]             [1, 8]          [2, 8]          [5, 6]          None           
000010110100    0.03113         None            [3]             None            [5]             [6]             None            [8]             [3, 6]          None            [3, 8]          None           
000010110101    0.05073         None            [3]             [1, 3]          [5]             [6]             [1, 6]          [8]             [1, 8]          None            [3, 8]          None           
000010110110    0.05663         [2]             [3]             None            [5]             [6]             [2, 5]          [8]             [3, 6]          [2, 8]          [3, 8]          None           
000010110111    0.06348         [2]             [3]             [1, 3]          [5]             [1, 5]          [1, 6]          [3, 5]          [1, 8]          [2, 8]          [3, 8]          None           
000010111000    0.03438         None            None            [4]             [5]             [6]             None            [8]             [4, 5]          [4, 6]          [5, 6]          [4, 8]         
000010111001    0.05389         None            None            [4]             [5]             [6]             [1, 6]          [8]             [4, 5]          [4, 6]          [5, 6]          [4, 8]         
000010111010    0.05364         [2]             None            [4]             [5]             [6]             [2, 5]          [8]             [4, 5]          [4, 6]          [5, 6]          [4, 8]         
000010111011    0.06427         [2]             [1, 2]          [4]             [5]             [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [5, 6]          [4, 8]         
000010111100    0.04964         None            [3]             [4]             [5]             [6]             [3, 4]          [8]             [4, 5]          [4, 6]          [3, 8]          [4, 8]         
000010111101    0.06249         None            [3]             [4]             [5]             [6]             [1, 6]          [8]             [1, 8]          [4, 6]          [3, 8]          [4, 8]         
000010111110    0.06781         [2]             [3]             [4]             [5]             [6]             [2, 5]          [8]             [3, 6]          [2, 8]          [3, 8]          [4, 8]         
000010111111    0.07065         [2]             [3]             [4]             [5]             [6]             [1, 6]          [8]             [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000011000000    0.04630         None            None            None            None            None            [7]             [8]             None            None            None            None           
000011000001    0.05633         None            None            None            None            None            [7]             [1, 7]          [1, 8]          None            None            None           
000011000010    0.06250         [2]             None            None            None            None            [7]             [8]             [2, 7]          [2, 8]          None            None           
000011000011    0.04533         [2]             [1, 2]          None            None            None            [7]             [1, 7]          [1, 8]          [2, 8]          None            None           
000011000100    0.04938         None            [3]             None            None            None            [7]             [8]             None            [3, 7]          [3, 8]          None           
000011000101    0.05105         None            [3]             [1, 3]          None            None            [7]             [1, 7]          [1, 8]          [3, 7]          [3, 8]          None           
000011000110    0.04818         [2]             [3]             None            [2, 3]          None            [7]             [8]             [2, 7]          [2, 8]          [3, 8]          None           
000011000111    0.04377         [2]             [1, 2]          [1, 3]          [2, 3]          None            [7]             [8]             [1, 8]          [2, 8]          [3, 8]          None           
000011001000    0.03627         None            None            [4]             None            None            [7]             [8]             None            None            [4, 7]          [4, 8]         
000011001001    0.04572         None            None            [4]             [1, 4]          None            [7]             [8]             [1, 8]          None            [4, 7]          [4, 8]         
000011001010    0.05273         [2]             None            [4]             None            [2, 4]          [7]             [8]             [2, 7]          [2, 8]          [4, 7]          [4, 8]         
000011001011    0.05763         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [7]             [8]             [1, 8]          [2, 8]          [4, 7]          [4, 8]         
000011001100    0.03554         None            [3]             [4]             None            None            [7]             [8]             None            [3, 7]          [3, 8]          [4, 8]         
000011001101    0.04899         None            [3]             [4]             [1, 4]          None            [7]             [8]             [1, 8]          [3, 7]          [3, 8]          [4, 8]         
000011001110    0.06041         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             [8]             [2, 7]          [3, 7]          [3, 8]          [4, 8]         
000011001111    0.06206         [2]             [3]             [1, 3]          [1, 4]          [2, 4]          [3, 4]          [1, 7]          [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000011010000    0.02315         None            None            None            [5]             None            [7]             [8]             None            None            None            [5, 7]         
000011010001    0.04424         None            None            None            [5]             [1, 5]          [7]             [8]             [1, 8]          None            None            [5, 7]         
000011010010    0.03811         [2]             None            None            [5]             None            [7]             [8]             [2, 7]          [2, 8]          None            [5, 7]         
000011010011    0.05449         [2]             [1, 2]          None            [5]             [1, 5]          [7]             [8]             [2, 7]          [2, 8]          None            [5, 7]         
000011010100    0.03134         None            [3]             None            [5]             None            [7]             [8]             None            [3, 7]          [3, 8]          [5, 7]         
000011010101    0.05528         None            [3]             [1, 3]          [5]             [1, 5]          [7]             [8]             [1, 8]          [3, 7]          [3, 8]          [5, 7]         
000011010110    0.04359         [2]             [3]             None            [5]             None            [7]             [8]             [2, 7]          [2, 8]          [3, 8]          [5, 7]         
000011010111    0.05684         [2]             [3]             [1, 3]          [2, 3]          [1, 5]          [2, 5]          [1, 7]          [1, 8]          [3, 7]          [3, 8]          [5, 7]         
